price per room,avg_rating,#cafes,#pubs
1700,4.125,1,2
1700,4.05,5,0
1700,4.125,1,2
1700,4.05,0,0
1700,4.025,1,0
1700,4.15,4,1
1700,4.15,4,1
1700,3.95,1,0
1700,4.025,3,0
1700,3.95,2,2
1700,4,3,1
1700,4.05,2,0
1700,4.125,1,2
1700,4.05,1,0
1700,4.025,3,0
1700,4.025,2,0
1702,4,3,0
1703,4.15,6,0
1704,4.1,0,0
1707,3.975,1,2
1707,4.05,1,1
1708,4,3,0
1710,3.95,3,2
1710,4,3,1
1710,3.925,4,3
1716,3.95,1,0
1717,3.95,0,0
1720,4.15,5,0
1720,3.95,0,0
1721,4.175,6,0
1724,4,3,1
1725,4,1,2
1725,3.925,1,0
1725,4.025,1,0
1725,4.025,1,0
1725,3.95,1,0
1725,3.975,0,0
1726,3.975,4,2
1726,4.1,6,1
1726,4.125,7,1
1726,4.15,7,0
1726,4.15,4,1
1726,4.075,4,0
1726,4,3,1
1726,4.025,2,0
1726,4.1,1,2
1726,4.125,2,1
1726,3.95,5,2
1728,4.1,1,2
1732,4,0,0
1734,4.025,1,0
1735,3.975,6,0
1735,4.075,3,1
1736,4.15,4,1
1738,4.1,6,0
1738,3.875,2,1
1738,3.95,0,0
1740,4.075,5,0
1740,3.975,0,0
1742,4.05,5,0
1742,4.1,5,0
1742,4.15,5,0
1742,4.075,1,2
1743,4.175,6,0
1744,4.1,6,0
1747,3.95,4,0
1748,3.975,3,2
1748,4.05,0,0
1748,4.025,3,0
1750,4.05,3,1
1750,4,1,0
1750,4.15,5,0
1750,4.05,4,2
1750,4.05,6,1
1750,4.1,6,2
1750,4,5,1
1750,3.925,4,2
1750,4,3,1
1750,3.95,0,0
1750,4.05,4,0
1750,4.05,4,0
1750,4.025,1,1
1750,4.025,1,1
1750,4.1,0,0
1750,3.95,1,0
1750,3.95,1,0
1750,3.95,2,1
1750,4.125,4,1
1750,4.05,3,0
1750,4.025,3,0
1750,4.075,1,0
1750,4.05,3,1
1750,4.125,1,2
1750,4,2,0
1751,4.075,1,1
1751,3.975,0,0
1751,4.125,1,2
1751,4.175,5,1
1754,4,5,0
1757,4.15,1,2
1758,4.125,3,2
1761,4,1,2
