address,price,movein_t,movein_d,bedrooms
1912 Milvia St,1421.0,1405839600.0,2014-07-20,1
1912 Milvia St,1446.0,1389513600.0,2014-01-12,1
1912 Milvia St,1421.0,1406876400.0,2014-08-01,1
1912 Milvia St,1472.0,1404975600.0,2014-07-10,1
1912 Milvia St,1450.0,1436338800.0,2015-07-08,1
1912 Milvia St,1500.0,1433919600.0,2015-06-10,1
1912 Milvia St,1472.0,1401606000.0,2014-06-01,1
1912 Milvia St,1523.0,1405407600.0,2014-07-15,1
1912 Milvia St,1500.0,1420099200.0,2015-01-01,1
1912 Milvia St,1550.0,1421740800.0,2015-01-20,1
1912 Milvia St,1525.0,1434351600.0,2015-06-15,1
1912 Milvia St,1523.0,1412406000.0,2014-10-04,1
1912 Milvia St,1550.0,1447747200.0,2015-11-17,1
1912 Milvia St,1550.0,1423555200.0,2015-02-10,1
1912 Milvia St,1550.0,1452240000.0,2016-01-08,1
1912 Milvia St,1550.0,1433314800.0,2015-06-03,1
1912 Milvia St,1550.0,1433142000.0,2015-06-01,1
1912 Milvia St,1600.0,1454832000.0,2016-02-07,1
1912 Milvia St,1573.0,1407222000.0,2014-08-05,1
1912 Milvia St,2200.0,1425196800.0,2015-03-01,2
1912 Milvia St,2177.0,1405407600.0,2014-07-15,2
1912 Milvia St,2300.0,1438412400.0,2015-08-01,2
2017 Berkeley Way,2030.0,1404198000.0,2014-07-01,2
2017 Berkeley Way,1979.0,1402815600.0,2014-06-15,2
2017 Berkeley Way,2200.0,1433142000.0,2015-06-01,2
2017 Berkeley Way,2081.0,1401606000.0,2014-06-01,2
2017 Berkeley Way,2300.0,1432623600.0,2015-05-26,2
2017 Berkeley Way,2233.0,1402038000.0,2014-06-06,2
2017 Berkeley Way,2600.0,1433574000.0,2015-06-06,2
2017 Berkeley Way,2450.0,1435734000.0,2015-07-01,2
1836 Hearst Ave,2099.0,1432364400.0,2015-05-23,2
1836 Hearst Ave,1800.0,1433142000.0,2015-06-01,2
2005 Berkeley Way,1878.0,1402124400.0,2014-06-07,2
2005 Berkeley Way,1619.0,1401606000.0,2014-06-01,1
1906 Bonita Ave,2487.0,1394434800.0,2014-03-10,1
1937 Haste St,878.0,1409554800.0,2014-09-01,1
2223 Dwight Way,1895.0,1436252400.0,2015-07-07,1
2223 Dwight Way,1400.0,1430550000.0,2015-05-02,0
2247 Dwight Way,1600.0,1439190000.0,2015-08-10,1
2420 Milvia St,2275.0,1431673200.0,2015-05-15,1
2001 Haste St,1776.0,1398927600.0,2014-05-01,1
2001 Haste St,1624.0,1406876400.0,2014-08-01,1
2007 Haste St,1695.0,1441090800.0,2015-09-01,1
2007 Haste St,1517.0,1403247600.0,2014-06-20,1
2007 Haste St,2025.0,1404543600.0,2014-07-05,2
2007 Haste St,1878.0,1391241600.0,2014-02-01,2
2007 Haste St,2850.0,1432623600.0,2015-05-26,2
2007 Haste St,2228.0,1407567600.0,2014-08-09,2
2011 Haste St,1720.0,1401865200.0,2014-06-04,1
2011 Haste St,1416.0,1399100400.0,2014-05-03,0
2011 Haste St,2195.0,1439794800.0,2015-08-17,1
2011 Haste St,1720.0,1396681200.0,2014-04-05,1
2011 Haste St,1720.0,1396076400.0,2014-03-29,2
2011 Haste St,2295.0,1447660800.0,2015-11-16,1
2011 Haste St,2495.0,1433314800.0,2015-06-03,2
2021 Haste St,1695.0,1436511600.0,2015-07-10,1
2021 Haste St,1695.0,1433142000.0,2015-06-01,0
2033 Haste St,1923.0,1409554800.0,2014-09-01,2
