address,avg_ppr
1640 Scenic Ave,1293.3333333333333
2427 Hilgard Ave,1950.6666666666667
2435 Hilgard Ave,1397.875
2455 Hilgard Ave,1548.0
1640 Euclid Ave,1809.3333333333333
1518 Bonita Ave,4498.0
1531 Milvia St,868.75
1530 Henry St,966.4
1555 Oxford St,1567.4833333333331
1510 Bonita Ave,1683.3333333333333
1540 Milvia St,1250.0
1552 Milvia St,1100.0
1531 Shattuck Ave,1531.0
1532 Walnut St,1570.0
1541 Oxford St,1571.6666666666665
1569 Spruce St,2278.5
2267 Cedar St,950.0
2301 Cedar St,2284.0
1524 Milvia St,1821.4
1513 Milvia St,1015.0
1526 Walnut St,1000.0
1528 Oxford St,1116.5
1543 Spruce St,1740.0
1538 Arch St,1015.0
2171 Allston Way,1125.8461538461538
1907 Center St,1373.3333333333333
1912 Addison St,1025.0
1915 Addison St,1393.8
2109 Shattuck Ave,1544.921052631579
2112 Addison St,1303.0
1904 University Ave,1547.25
2018 University Ave,1575.8333333333333
2008 Shattuck Ave,943.75
2070 University Ave,1296.2142857142858
1949 Milvia St,1624.0
1945 Milvia St,1010.8
2008 Berkeley Way,1083.0
2057 University Ave,979.88
1945 Berkeley Way,1450.8333333333333
1913 Berkeley Way,1850.0
1912 Milvia St,1450.8333333333333
2017 Berkeley Way,1117.0625
1836 Hearst Ave,974.75
2005 Berkeley Way,1279.0
1906 Bonita Ave,2487.0
1930 Hearst Ave,763.1111111111112
1932 Hearst Ave,1177.6
1902 Henry St,1066.0
1905 Henry St,1057.0
2040 Hearst Ave,2035.75
2038 Hearst Ave,1918.8
2632 Regent St,1597.6666666666667
2637 Regent St,1346.142857142857
2704 Derby St,1665.0
2712 Derby St,2048.1666666666665
2620 Dana St,2112.5
2626 Regent St,1500.0
2633 Regent St,1509.7272727272727
2635 Hillegass Ave,1357.1666666666667
2409 Carleton St,1209.3333333333333
2625 Regent St,1365.0
2627 Hillegass Ave,1312.3095238095236
2631 Benvenue Ave,1282.375
2634 College Ave,1176.6666666666667
2636 College Ave,1176.6666666666667
2819 Derby St,1503.5714285714282
2619 Regent St,1827.0
2618 Hillegass Ave,1393.0
2620 Hillegass Ave,1339.0
2617 Hillegass Ave,1318.1190476190477
2635 College Ave,988.095238095238
2639 College Ave,1995.0
2636 Etna St,1421.0
2414 Parker St,1371.4999999999998
2610 Regent St,1686.357142857143
2615 Regent St,1562.5
2620 Benvenue Ave,1581.6666666666665
2619 Benvenue Ave,1568.0
2618 College Ave,2620.0
2620 College Ave,1077.4166666666667
2631 College Ave,1200.0
2633 Piedmont Ave,875.0
2610 Hillegass Ave,1479.8703703703707
2608 Benvenue Ave,1216.6666666666667
2606 Benvenue Ave,1396.2820512820513
2611 Benvenue Ave,1800.0
2541 Dana St,1794.0
2460 Parker St,1582.0714285714287
2600 Hillegass Ave,2200.0
2617 College Ave,1971.5384615384614
2629 Piedmont Ave,1850.0
2023 Parker St,1250.0
2114 Parker St,774.0
2120 Parker St,1038.25
2124 Parker St,1444.3333333333333
2134 Parker St,1050.0
2607 Fulton St,1294.0
2211 Carleton St,1498.892857142857
2327 Carleton St,1175.8333333333333
1920 Blake St,1979.0
2210 Parker St,1000.0
2218 Parker St,975.0
2609 Ellsworth St,1219.679487179487
1809 Blake St,954.5
1823 Blake St,2200.0
1936 Blake St,1466.25
2208 Parker St,1233.3333333333333
2252 Parker St,1127.3333333333333
2607 Ellsworth St,1776.0
2314 Parker St,987.6666666666666
2016 Blake St,878.5
2221 Parker St,1000.0
2603 Ellsworth St,1375.0
2390 Parker St,1405.8
2398 Parker St,2395.0
2124 Blake St,924.1666666666666
2537 Fulton St,1437.9
2223 Parker St,1000.0
2227 Parker St,863.0
2023 Blake St,668.25
2172 Blake St,943.1
2198 Blake St,1693.5
2529 Fulton St,1370.5
2212 Blake St,1066.0
2315 Parker St,1150.7857142857142
2329 Parker St,2200.0
1805 Dwight Way,1200.0
2021 Blake St,668.25
2202 Blake St,1370.5
2232 Blake St,1583.3333333333333
2240 Blake St,2013.9605263157894
2535 Ellsworth St,1172.9
2532 Dana St,916.25
1909 Dwight Way,1200.0
1927 Dwight Way,1118.1923076923076
1921 Dwight Way,1370.0
2012 Dwight Way,1150.0
2020 Dwight Way,1500.0
2030 Dwight Way,2062.4285714285716
2131 Blake St,444.0
2529 Ellsworth St,1871.6666666666667
2330 Blake St,1333.4
2338 Blake St,1188.0
1919 Dwight Way,1001.3571428571429
1931 Dwight Way,1543.0
1937 Dwight Way,1391.764705882353
1947 Dwight Way,1391.764705882353
2028 Dwight Way,1634.5
2506 Shattuck Ave,1710.25
2508 Shattuck Ave,1710.25
2128 Dwight Way,611.4285714285714
2215 Blake St,1131.25
1914 Haste St,1542.5
1916 Haste St,1400.0
2450 Milvia St,1391.764705882353
2511 Fulton St,1670.6666666666665
2208 Dwight Way,1661.25
2235 Blake St,966.6666666666666
2309 Blake St,1222.64
2317 Blake St,863.0
2325 Blake St,1248.090909090909
2331 Blake St,1311.5625
2422 McKinley Ave,971.75
2427 McKinley Ave,1657.5
1924 Haste St,1258.0
1930 Haste St,1800.0
1932 Haste St,1657.6666666666667
2200 Dwight Way,1670.6666666666665
2204 Dwight Way,1133.3333333333333
2222 Dwight Way,1176.0
2228 Dwight Way,1003.5714285714286
2230 Dwight Way,1365.287878787879
2507 Ellsworth St,1601.3333333333333
2321 Blake St,1428.9
2327 Blake St,1248.090909090909
2515 Dana St,1576.6666666666667
2428 Milvia St,1768.3333333333333
2224 Dwight Way,1176.0
2226 Dwight Way,1003.5714285714286
2503 Ellsworth St,1457.5
2304 Dwight Way,1671.0
2314 Dwight Way,1692.875
2324 Dwight Way,1280.9166666666667
1907 Haste St,1083.8333333333333
1915 Haste St,894.5
1919 Haste St,1554.6666666666665
1937 Haste St,878.0
2213 Dwight Way,1247.5
2217 Dwight Way,1878.0
2221 Dwight Way,2121.25
2223 Dwight Way,1647.5
2233 Dwight Way,1453.0
2247 Dwight Way,1600.0
2306 Dwight Way,1671.0
2308 Dwight Way,1880.0
2420 Milvia St,2275.0
2001 Haste St,1700.0
2007 Haste St,1283.75
2011 Haste St,1636.2142857142858
2021 Haste St,1695.0
2033 Haste St,1506.3620689655172
2425 Fulton St,1332.142857142857
2219 Dwight Way,1878.0
2231 Dwight Way,1453.0
2491 Ellsworth St,1799.9705882352941
2321 Dwight Way,1444.7222222222222
2329 Dwight Way,1750.0
2333 Dwight Way,1395.0
2500 Dana St,1900.0
1914 Channing Way,1765.6666666666667
1918 Channing Way,1053.75
1938 Channing Way,1092.8333333333335
2015 Haste St,1630.8125
2206 Haste St,1332.142857142857
2210 Haste St,830.5
2214 Haste St,1362.0
2218 Haste St,1536.4615384615386
2222 Haste St,2200.0
2230 Haste St,1509.0208333333333
2232 Haste St,1579.4791666666667
2431 Ellsworth St,1398.0833333333333
2315 Dwight Way,527.7096774193549
2335 Dwight Way,1433.9411764705883
2446 Dana St,1375.0
1930 Channing Way,1131.8472222222224
1942 Channing Way,1642.6875
2010 Channing Way,1566.1666666666665
2012 Channing Way,1066.0
2429 Shattuck Ave,1467.0
2115 Haste St,1422.7692307692307
2117 Haste St,1570.7283950617284
2135 Haste St,1397.5
2428 Ellsworth St,1774.4285714285713
2426 Ellsworth St,2030.0
2316 Haste St,527.7096774193549
2320 Haste St,1628.7142857142858
2322 Haste St,1669.7
2330 Haste St,1262.409090909091
1936 Channing Way,1092.8333333333335
2133 Haste St,1397.5
2416 Fulton St,1751.0
2420 Fulton St,1397.5
2015 Channing Way,1497.5
2019 Channing Way,1726.0
2020 Channing Way,948.4
2118 Channing Way,1197.6190476190477
2404 Fulton St,1580.625
2412 Atherton St,975.0
2237 Haste St,951.75
2301 Haste St,1832.0
2309 Haste St,1477.2
2325 McKinley Ave,1588.9
2021 Channing Way,1398.75
2023 Channing Way,1281.5
2035 Channing Way,1299.0833333333333
2150 Channing Way,1321.3541666666667
2405 Fulton St,1300.1904761904764
2412 Ellsworth St,1615.1666666666667
2423 Haste St,631.875
2000 Durant Ave,1422.6944444444443
2129 Channing Way,1928.5
2236 Channing Way,1767.2291666666667
2125 Channing Way,1747.5
2332 Fulton St,827.4
2345 Fulton St,1885.3333333333333
