,address,bathrooms,bedrooms,latitude,longitude,sqft,price per room
203,1826 Alcatraz Ave,0,1,37.848932,-122.271317,0,1795
204,3219 Idaho St,0,0,37.848997,-122.28145,0,670
205,0 0,1,3,37.849002,-122.260494,1350,1400
206,3218 Boise St,0,0,37.84907,-122.281121,0,740
207,1893 Alcatraz Ave.,1,1,37.849087,-122.26927,600,1750
208,1402 Fairview St,0,0,37.849122,-122.279603,0,1650
209,1515 Harmon St,0,0,37.84916,-122.277463,0,1650
210,1642 Harmon St,0,0,37.849176,-122.274055,0,2120
211,1859 Alcatraz Ave,0,0,37.849193,-122.26996,0,1005
212,1525 Harmon St,0,0,37.849227,-122.276951,0,1624
213,1529 Harmon St,0,0,37.84925,-122.276777,0,1822
214,1533 Harmon St,0,0,37.849273,-122.276597,0,1668
215,1537 Harmon St,0,0,37.849297,-122.276426,0,2355
216,3214 California St,0,0,37.849314,-122.276251,0,1903
217,3216 Baker St,0,0,37.849361,-122.28028,0,1885
218,Harmon at King,0,3,37.849526,-122.27428,2400,1500
219,67th St at San Pablo Ave,0,2,37.849629,-122.288368,1339,1600
220,3205 California St,0,0,37.849635,-122.275753,0,1900
221,1918 Harmon St,0,0,37.849669,-122.268922,0,1523
222,Harmon Street at Adeline Street,1,1,37.849726,-122.27168,800,1900
223,1610 Fairview St,0,0,37.849838,-122.275612,0,1700
224,1628 Fairview St,0,0,37.84986,-122.274919,0,1889
225,1412 66th St,0,0,37.849904,-122.279557,0,2250
226,1626 Fairview St,0,0,37.850006,-122.274987,0,1889
227,473 Alcatraz Ave,0,2,37.850019,-122.259614,0,1350
228,1054 67th Street,750,1,37.850033,-122.285291,750,2250
229,473 Alcatraz Ave,0,1,37.850112,-122.259647,0,1700
230,473 Alcatraz Ave,0,2,37.850154,-122.259614,0,1300
231,1543 Fairview St,0,0,37.850176,-122.276432,0,750
232,540 alcatraz ave,0,1,37.8502,-122.262036,0,1700
233,1625 Fairview St,0,0,37.850229,-122.275052,0,1685
234,1816 Fairview St,0,0,37.850251,-122.272004,0,1497
235,3135 Sacramento St,0,0,37.850272,-122.277943,0,2500
236,1603 Fairview St,0,0,37.850285,-122.275905,0,1631
237,1611 Fairview St,0,0,37.850307,-122.275732,0,1911
238,1619 Fairview St,0,0,37.850351,-122.275372,0,2994
239,1627 Fairview St,0,0,37.850394,-122.275029,0,1685
240,65th St. at Shattuck,1,1,37.850426,-122.26638,900,2000
241,3138 California St,0,0,37.850436,-122.276667,0,2743
242,1528 Woolsey St,0,0,37.850491,-122.2772,0,2413
243,1218 Haskell St,0,0,37.850505,-122.285096,0,1832
244,1238 Haskell St,0,0,37.850509,-122.284076,0,954
245,3140 Ellis St,0,0,37.850549,-122.273154,0,1937
246,1226 Haskell St,0,0,37.8506,-122.284716,0,2850
247,3215 King Street,1,2,37.850645,-122.273669,1000,1700
248,1236 Haskell St,0,0,37.850651,-122.284302,0,1827
249,3138 Ellis St,0,0,37.850709,-122.273161,0,1748
250,1622 Woolsey St,0,0,37.85074,-122.275276,0,1585
251,1821 Fairview St,0,0,37.850756,-122.271877,0,2005
252,1624 Woolsey St,0,0,37.850763,-122.275104,0,863
253,3134 King St,0,0,37.850768,-122.274214,0,3200
254,1628 Woolsey St,0,0,37.850784,-122.274933,0,3800
255,1630 Woolsey St,0,0,37.850807,-122.274762,0,1573
256,1632 Woolsey St,0,0,37.850829,-122.274611,0,2050
257,woolsey at king,0,2,37.850866,-122.27457,0,1175
258,Woolsey at King,0,2,37.850883,-122.274613,0,1175
259,3131 King St,0,0,37.85098,-122.273767,0,1421
260,1638 Woolsey St,0,0,37.851001,-122.274448,0,1400
261,3200 College Ave,0,0,37.851067,-122.252752,0,2030
262,2612 Alcatraz Ave,0,0,37.851068,-122.252617,0,2030
263,1130 65th street at hollis,0,3,37.851137,-122.280922,1850,1265
264,1816 Woolsey St,0,0,37.85115,-122.272106,0,1650
265,2714 Alcatraz Ave,0,0,37.851204,-122.251727,0,2330
266,1929 Fairview St,0,0,37.851242,-122.269093,0,2054
267,1931 Fairview St,0,0,37.851269,-122.268966,0,1726
268,1625 Woolsey St,0,0,37.85129,-122.275207,0,2495
269,1627 Woolsey St,0,0,37.851314,-122.275024,0,2399
270,323 Alcatraz Ave,0,1,37.851326,-122.25418,0,2195
271,1202 Carrison St,0,0,37.851334,-122.285183,0,2002
272,3053 Dohr St,0,0,37.851353,-122.279796,0,1450
273,1522 Prince St,0,0,37.851363,-122.277553,0,2035
274,1212 Carrison St,0,0,37.8514,-122.284829,0,1726
275,1530 Prince St,0,0,37.851408,-122.277211,0,1624
276,3120 Ellis St,0,0,37.851428,-122.273169,0,1350
277,3051 Dohr St,0,0,37.851471,-122.279822,0,1269
278,3102 California St,0,0,37.851475,-122.276693,0,2040
279,Alcatraz at College,0,1,37.851476,-122.251611,0,2550
280,1319 Haskell St,0,0,37.851536,-122.282452,0,1523
281,0 0,1,3,37.85156,-122.274721,1400,1120
282,3205 College Ave,0,1,37.851614,-122.25308,0,1950
283,1616 Prince St,0,0,37.85162,-122.275565,0,1100
284,3114 Ellis St,0,0,37.851627,-122.273271,0,2104
285,3049 Sacramento St,0,0,37.851671,-122.278392,0,1361
286,3103 California St,0,1,37.851682,-122.277068,0,1650
287,1632 Prince St,0,0,37.851705,-122.274908,0,1314
288,3015 San Pablo ave,2,2,37.851736,-122.286876,1155,1997
289,1507 Prince St,0,0,37.851798,-122.278367,0,1361
290,3047 Sacramento St,0,0,37.851805,-122.278482,0,1361
291,College at Alcatraz,1,1,37.851882,-122.252254,800,2390
292,3043 Sacramento St,0,0,37.851903,-122.278451,0,1361
293,0 0,0,2,37.851908,-122.275,0,1550
294,1235 Carrison St,0,0,37.851934,-122.284826,0,914
295,1535 Prince St,0,0,37.851939,-122.277293,0,3045
296,3041 Sacramento St,0,0,37.85194,-122.278502,0,1361
297,3111 Harper St,0,0,37.851978,-122.271651,0,1300
298,3034 Dohr St,0,0,37.851984,-122.280446,0,1000
299,1603 Prince St,0,0,37.852053,-122.276427,0,2053
300,1615 Prince St,0,0,37.852123,-122.275897,0,1942
301,prince at king,1,2,37.852126,-122.27458,750,1197
302,1625 Prince St,0,0,37.852165,-122.275573,0,1898
303,1512 Tyler St,0,0,37.852217,-122.278047,0,1040
304,Ashby at San Pablo,1,2,37.852221,-122.284012,750,1047
305,1305 Carrison St,0,0,37.852224,-122.28316,0,1434
306,San Pablo at Ashby,2,2,37.852226,-122.28698,1155,1997
307,3145 College Ave,0,0,37.852245,-122.252258,0,2081
308,1808 Prince St,0,0,37.852249,-122.272332,0,1700
309,1643 Prince St,0,0,37.852285,-122.274689,0,1345
310,6616 Telegraph Ave,0,1,37.852308,-122.260796,0,1699
311,3140 College Ave,0,0,37.852315,-122.253126,0,1799
312,3008 Mabel St,0,0,37.852333,-122.283931,0,1100
313,Starview at Hiller,0,3,37.85234,-122.226484,1842,1558
314,2134 Woolsey St,0,0,37.852358,-122.264611,0,1350
315,2140 Woolsey St,0,0,37.852385,-122.264356,0,2560
316,1248 Ashby Ave,0,0,37.85239,-122.284254,0,1218
317,1534 Tyler St,0,0,37.852393,-122.277411,0,1735
318,0 0,0,1,37.852408,-122.260022,0,1699
319,1600 Tyler St,0,0,37.852418,-122.276503,0,1675
320,3141 College Ave,0,0,37.852453,-122.252278,0,1675
321,2308 Woolsey St,0,0,37.852492,-122.261268,0,1250
322,3039 Ellis St,0,0,37.852513,-122.272839,0,1800
323,1817 Prince St,0,0,37.852556,-122.272175,0,2182
324,3151 Eton Ave,0,0,37.852579,-122.250086,0,2081
325,1225 Ashby Ave,0,0,37.85259,-122.285844,0,1150
326,3132 College Ave,0,0,37.852591,-122.253151,0,589
327,1314 Ashby Ave,0,0,37.852644,-122.282955,0,1573
328,1322 Ashby Ave,0,0,37.85271,-122.282615,0,2538
329,3131 College Ave,0,0,37.852804,-122.252312,0,2673
330,Mabel at Ashby,0,1,37.852826,-122.28408,0,950
331,1245 Ashby Ave,0,0,37.852842,-122.284617,0,2100
332,1529 Tyler St,0,0,37.85285,-122.277366,0,1776
333,2301 Woolsey St,0,0,37.852903,-122.261683,0,1776
334,3125 College Ave,0,0,37.852943,-122.252325,0,1464
335,3125 College Ave,0,1,37.85295,-122.252276,0,1895
336,2307 Woolsey St,0,0,37.852977,-122.261515,0,1776
337,3101 Shattuck Ave,0,0,37.852985,-122.265917,0,1300
338,2315 Woolsey St,0,0,37.85308,-122.261326,0,1776
339,3112 Deakin St,0,0,37.853084,-122.262229,0,1533
340,2325 Woolsey St,0,0,37.853092,-122.260762,0,2068
341,1661 Tyler St,0,0,37.853103,-122.274474,0,863
342,3120 Telegraph Ave,0,0,37.853133,-122.260579,0,2068
343,2007 Prince St,0,0,37.853134,-122.267646,0,2532
344,woolsey at college,0,2,37.853136,-122.252448,0,675
345,2925 Mabel St,0,0,37.853191,-122.283446,0,1081
346,1327 Ashby Ave,0,0,37.853249,-122.282673,0,1726
347,120 Caldecott Ln,2,3,37.853255,-122.223394,1400,998
348,3110 College Ave,0,0,37.853361,-122.253034,0,1810
349,3109 Telegraph Ave,0,0,37.853366,-122.259886,0,3045
350,1359 Ashby Ave,0,0,37.853371,-122.281585,0,1604
351,3055 Dana St,0,0,37.853424,-122.258179,0,2800
352,2230 Prince St,0,0,37.853429,-122.262537,0,2530
353,1628 Ashby Ave,0,0,37.853459,-122.275555,0,1370
354,2314 Prince St,0,0,37.853472,-122.261184,0,1250
355,1640 Ashby Ave,0,0,37.853494,-122.275294,0,2424
356,2950 Dohr St,0,0,37.853502,-122.281046,0,900
357,2131 Prince St,0,0,37.853504,-122.264813,0,3200
358,1310 Burnett St,0,0,37.853508,-122.283211,0,1847
359,2030 Essex St,0,0,37.853523,-122.26684,0,1724
360,1316 Burnett St,0,0,37.853549,-122.283012,0,1929
361,2034 Essex St,0,0,37.85358,-122.266691,0,1675
362,3100 College Ave,0,0,37.853649,-122.252969,0,3198
363,2926 Stanton St,0,1,37.853661,-122.280192,0,1650
364,1226 Russell St,0,0,37.853663,-122.285714,0,1320
365,1521 Ashby Ave,0,0,37.853664,-122.278182,0,1550
366,1527 Ashby Ave,0,0,37.853698,-122.277908,0,2097
367,1623 Ashby Ave,0,2,37.853716,-122.276696,0,1150
368,1625 Ashby Ave,0,1,37.853724,-122.276643,0,2100
369,Regent st,1,1,37.853726,-122.25678,640,1780
370,2925 Dohr St,0,0,37.853765,-122.280677,0,1218
371,2700 Woolsey St,0,0,37.853771,-122.252405,0,2700
372,2130 Essex St,0,0,37.853774,-122.264929,0,1314
373,3005 Ellis St,0,0,37.853775,-122.272864,0,2350
374,2247 Prince St,0,0,37.853797,-122.262246,0,2716
375,120 Caldecott Lane,1,2,37.853848,-122.222965,1200,1422
376,2915 Dohr St,0,0,37.853898,-122.280726,0,1850
377,142 Caldecott Ln,2,3,37.853983,-122.222793,1648,1165
378,2931 Stanton St,0,0,37.854004,-122.279891,0,1650
379,2327 Prince St,0,0,37.854023,-122.260623,0,2182
380,Prince at Telegraph,0,1,37.854026,-122.26068,0,2195
381,2638 Woolsey,0,4,37.854029,-122.254441,0,1398
382,1518 Julia St,0,0,37.854031,-122.278258,0,1483
383,3042 Fulton St,0,0,37.854055,-122.26351,0,2309
384,3048 Halcyon Ct,1,1,37.854102,-122.261172,950,2200
