,address,bathrooms,bedrooms,latitude,longitude,sqft,price per room,distance,latitude,longitude,avg_rating,#cafes,#pubs
75,0 0,1,1,37.822124,-122.288089,965,2495,3.786,37.8238545,-122.2845851,4.1,2,1
76,322 Monte Vista Avenue,0,2,37.822684,-122.249572,0,1350,3.451,37.82643825,-122.2525985,4.05,0,0
77,95 Linda Ave,0,2,37.825091,-122.248328,0,1397,3.299,37.82738617,-122.25126,4.075,1,0
78,274 40th street,0,2,37.826192,-122.254744,0,1175,3.177,37.82667649,-122.2546163,4.05,1,0
79,37th at west,2,2,37.826827,-122.27248,1200,900,3.203,37.82538805,-122.2708469,4.05,2,1
80,Martin Luther King Jr. Way at W MacArthur,1,3,37.827327,-122.26958,1300,950,3.137,37.82640293,-122.2691911,4.075,2,1
81,995 MacArthur Boulevard,3,3,37.828045,-122.276695,1412,1200,3.181,37.82787375,-122.2756666,4.025,2,0
82,3840 MARTIN LUTHER KING JR,1,2,37.828244,-122.269413,950,1125,3.073,37.82827726,-122.2691911,4.05,1,0
83,Pala at Park Way,0,3,37.829726,-122.231379,0,1833,3.302,37.83503173,-122.231547,4.05,2,1
84,1325 40th St,2,2,37.829751,-122.284184,1015,1747,3.219,37.82973505,-122.2834265,3.95,4,0
85,1325 40th St,1,1,37.829819,-122.283958,554,2395,3.209,37.82917185,-122.2834265,4,4,0
86,3900 Adeline,0,1,37.829935,-122.279278,0,2450,3.104,37.83068716,-122.2782172,4.1,4,0
87,40th St at Hollis St,1,1,37.830281,-122.285778,788,2595,3.223,37.83251625,-122.2855739,3.95,4,0
88,Adeline Street at Yerba Buena,2,1,37.830327,-122.27918,1518,3450,3.076,37.83068716,-122.2782172,4.1,4,0
89,West St at 37th St,2,2,37.830427,-122.27148,1200,1775,2.949,37.8292595,-122.2708469,4,1,0
90,1121 40th ST at Adeline Street,1,1,37.830667,-122.278862,625,2400,3.048,37.83068716,-122.2782172,4.1,4,0
91,Montgomery Street at Pleasant Valley Avenue,0,1,37.831209,-122.249293,600,1850,2.875,37.8315124,-122.2521795,4.025,3,0
92,0 0,0,1,37.8321,-121.9167,0,1650,18.947,37.81520125,-121.9201452,3.5,2,1
93,41st Street at Adeline Street,0,1,37.832427,-122.27838,0,2850,2.925,37.83213785,-122.276777,4.05,3,1
94,4205 market st,1,1,37.832531,-122.273746,525,1750,2.839,37.83323796,-122.2724534,4.075,1,0
95,288 Whitmore,1,1,37.833463,-122.252212,675,2185,2.694,37.83198696,-122.2533017,4.05,2,0
96,1000 43rd Street,1,1,37.833527,-122.27628,800,2500,2.815,37.83575945,-122.2751322,4.025,3,0
97,48th at Telegraph,2,3,37.834926,-122.26358,1000,933,2.574,37.83407827,-122.2650085,4.125,0,0
98,574 48th St at Shattuck,1,2,37.835451,-122.265005,1113,1600,2.546,37.83425121,-122.2661337,4.125,0,0
99,1585 Brunswig Lane,0,2,37.835615,-122.292337,1434,1900,3.093,37.83531795,-122.2911198,3.825,3,1
100,1585 Brunswig lane,0,2,37.835683,-122.292852,0,1900,3.105,37.83531795,-122.2911198,3.775,3,0
101,0 0,0,3,37.8361,-122.2637,0,831,2.494,37.83421806,-122.2655285,4.125,0,0
102,41st street at market,0,1,37.8365,-122.2804,0,1850,2.709,37.83698085,-122.2799561,4.025,3,1
103,5 Admiral Way,1,1,37.837368,-122.302504,667,2095,3.358,37.8374175,-122.3017842,3.725,3,0
104,6 Admiral Drive,1,1,37.837369,-122.302505,650,1999,3.358,37.8374175,-122.3017842,3.725,3,0
105,5115 Shattuck Ave,1,2,37.837659,-122.264695,890,1400,2.393,37.83572521,-122.2661337,4.075,0,0
106,4 Anchor Drive,1,1,37.837954,-122.307379,851,2395,3.523,37.8374175,-122.3019661,3.625,3,0
107,833 - 54th Street at Martin Luther King,1,2,37.83853,-122.272661,900,1487,2.425,37.83825357,-122.2720053,4.15,1,0
108,833 - 54th Street at Martin Luther King,1,2,37.838581,-122.272789,900,1487,2.424,37.83825357,-122.2720147,4.125,1,0
109,Christie Avenue,1,1,37.838626,-122.29478,768,2100,3.01,37.8385163,-122.2946265,3.85,5,1
110,833 - 54th Street at Martin Luther King,1,2,37.838649,-122.272382,900,1487,2.413,37.83825357,-122.2720053,4.15,1,0
111,5540 Doyle Street,0,1,37.838988,-122.286994,1050,3375,2.735,37.8381915,-122.2871682,3.9,3,1
112,1333 Powell Street,1,1,37.839335,-122.288969,765,3257,2.777,37.8404334,-122.2877287,3.9,4,1
113,1333 Powell Street,1,1,37.839352,-122.288958,734,2910,2.775,37.8404334,-122.2877287,3.9,4,1
114,1333 Powell Street,1,1,37.83936,-122.288947,734,2875,2.775,37.8404334,-122.2877287,3.9,4,1
115,6363 Christie Avenue,2,2,37.839826,-122.29488,1144,2000,2.951,37.8385163,-122.2946265,3.85,5,1
116,3310 Powell St,0,1,37.840292,-122.314568,0,1500,3.727,37.8374175,-122.3024267,3.575,5,0
117,57th Street at Gaskill,0,2,37.840869,-122.279549,0,1150,2.418,37.83984427,-122.2800312,4.025,5,1
118,1039 57th St at Gaskill St.,1,2,37.840909,-122.280442,1000,1125,2.438,37.8404543,-122.2800312,4.025,5,1
119,Aileen at Market,1,2,37.841038,-122.274013,1000,1650,2.285,37.84029986,-122.2733253,4.15,1,0
120,6350 Christie Avenue,1,1,37.841061,-122.295086,643,2990,2.894,37.84129521,-122.2946265,3.875,5,1
121,5838 San Pablo Ave.,1,2,37.841491,-122.282937,1000,1300,2.471,37.84377087,-122.2842732,3.95,5,1
122,5838 San Pablo Ave.,1,2,37.841541,-122.28289,1000,1300,2.466,37.84377087,-122.2842732,3.95,5,1
123,los angeles street at arlington,1,3,37.841826,-122.27898,1100,816,2.345,37.84190446,-122.2796794,4.1,6,1
124,5630 Shattuck,1,1,37.841963,-122.265242,700,2000,2.103,37.84140982,-122.2676619,4.2,1,0
125,Christie Ave.,2,2,37.841978,-122.296801,1369,1990,2.913,37.84172655,-122.294764,3.875,4,1
126,59th at San Pablo Avenue,1,1,37.842106,-122.282842,1000,3500,2.432,37.84377087,-122.2842732,3.95,5,1
127,Locksley at Hudson,0,2,37.842126,-122.25578,0,2250,2.077,37.8429273,-122.2566078,3.95,1,2
128,Shattuck ave at Aileen,1,2,37.842226,-122.26528,900,1200,2.085,37.84140982,-122.2676619,4.2,1,0
129,59th st at Marshall st,1,1,37.842426,-122.28488,550,1250,2.474,37.84309965,-122.2851865,3.9,5,1
130,Stanford Avenue at Linden Street,1,1,37.842902,-122.277231,700,2200,2.236,37.84439016,-122.2776204,4.1,6,1
131,Stanford Avenue at Lowell Street,1,1,37.842944,-122.277242,1100,2850,2.234,37.84439016,-122.2776204,4.1,6,1
132,Grace Avenue at Lowell Street,1,1,37.843026,-122.27708,1000,2700,2.225,37.84439016,-122.2776204,4.1,5,1
133,974- 60th Street at Lowell,1,2,37.843885,-122.27809,900,1137,2.197,37.8457526,-122.2802756,4.05,6,1
134,6400 Christie Ave,1,1,37.844026,-122.29558,745,2350,2.766,37.84384425,-122.291521,3.9,3,1
135,Swainland at Ruthland,1,1,37.844054,-122.217472,750,2200,3.003,37.8349957,-122.2220671,3.65,2,0
136,59th St at Adeline,1,2,37.844126,-122.27388,700,987,2.084,37.8454149,-122.2741626,4.175,3,0
137,5900 Martin Luther King Jr. Way,1,2,37.844393,-122.270343,700,1200,2.002,37.8454149,-122.2695726,4.15,3,0
138,"1158 - 63rd Street, at San Pablo Avenue",1,2,37.845105,-122.286415,800,750,2.375,37.84525685,-122.2884742,3.925,4,1
139,792 60th Street at Martin Luther King,1,2,37.845359,-122.270472,880,1475,1.94,37.8456351,-122.2695726,4.1,4,0
140,1130 65th street Unit G at hollis,0,3,37.845444,-122.287102,1700,1199,2.38,37.84525685,-122.2884742,3.925,4,1
141,"1011 62nd street, B",1,2,37.845681,-122.280707,700,1097,2.161,37.8457526,-122.2815673,4,6,1
142,1027 62nd St. at San Pablo Ave. and Sacramentl St.,2,2,37.845805,-122.280896,1340,1800,2.159,37.8457526,-122.2818306,4,5,1
143,Ocean Ave at Hollis,2,3,37.845833,-122.290235,1710,1400,2.472,37.84555115,-122.2884742,3.95,4,1
144,0 0,0,2,37.84585,-122.262039,0,900,1.816,37.845755,-122.2619996,4,2,1
145,6466 Hollis Street,0,2,37.846026,-122.29153,1300,1600,2.512,37.8453401,-122.288867,3.95,4,1
146,Russell St,1,3,37.846121,-122.271309,1000,966,1.905,37.84624585,-122.2696739,4.1,4,0
147,1608 62nd St,0,0,37.846143,-122.275032,0,1050,1.982,37.84685231,-122.2755751,4.05,5,0
148,1610 62nd St,0,0,37.846164,-122.274861,0,2814,1.977,37.84685231,-122.2755751,4.05,5,0
149,6019 Shattuck Ave,1,2,37.846236,-122.265717,600,1000,1.817,37.8463408,-122.2673735,4.125,2,1
150,1630 62nd St,0,0,37.846278,-122.27401,0,1802,1.951,37.84685231,-122.2751314,4.05,4,0
151,690 61st Street,1,2,37.846542,-122.268727,640,1247,1.834,37.84755801,-122.2695726,4.075,4,0
152,1611 62nd St,0,0,37.846687,-122.275004,0,1015,1.948,37.84685231,-122.2755751,4.05,5,0
153,1643 62nd St,0,0,37.846787,-122.273625,0,1421,1.91,37.84685231,-122.2751314,4.05,4,0
154,5838 Birch Ct,0,2,37.846825,-122.250495,0,1500,1.811,37.84561632,-122.246904,3.975,0,2
155,62nd Street at King Street,2,3,37.846826,-122.27378,2100,1400,1.911,37.84685231,-122.2751314,4.05,4,0
156,1804 62nd St,0,0,37.846844,-122.270803,0,1865,1.849,37.84755801,-122.2696739,4.125,4,0
157,1645 62nd St,0,0,37.846866,-122.27365,0,1421,1.906,37.84685231,-122.2751314,4.05,4,0
158,1130 65th street at hollis,0,3,37.84707,-122.287617,1850,1198,2.313,37.84623425,-122.2885525,3.95,4,1
159,3380 Adeline St,0,0,37.847083,-122.27263,0,1764,1.87,37.84800726,-122.2700609,4.075,4,0
160,3337 King St,0,0,37.8472,-122.272971,0,2100,1.87,37.84800726,-122.2700609,4.075,4,0
161,1330 Alcatraz Ave,0,0,37.84737,-122.279847,0,1000,2.038,37.8457526,-122.2815673,4,5,1
162,1332 Alcatraz Ave,0,0,37.8474,-122.279695,0,1750,2.031,37.8457526,-122.2815673,4,5,1
163,1704 63rd at King,1,2,37.847494,-122.272901,750,1197,1.849,37.84800726,-122.2700609,4.025,3,0
164,6114 Shattuck Ave,0,2,37.84754,-122.265985,0,1125,1.731,37.8503349,-122.2659776,4,3,1
165,1411 Alcatraz Ave,0,0,37.847606,-122.278718,0,1785,1.991,37.8474901,-122.2796585,4,5,1
166,1528 Alcatraz Ave,0,0,37.847687,-122.276261,0,2500,1.918,37.84685231,-122.2755751,4.05,5,0
167,1704 63rd at King,1,2,37.847697,-122.273176,750,1197,1.843,37.84800726,-122.2751314,4.025,4,0
168,3302 California St,0,0,37.847873,-122.275935,0,1012,1.898,37.8481074,-122.2755751,4,5,0
169,1840 63rd St,0,0,37.847895,-122.269425,0,3050,1.756,37.84907015,-122.2695726,4,4,0
170,1842 63rd St,0,0,37.847905,-122.2693,0,3050,1.753,37.84907015,-122.2695726,4,4,0
171,1130 65th Street,0,3,37.847911,-122.286403,1850,1199,2.226,37.8474755,-122.2862391,4.025,5,1
172,1530 Alcatraz Ave,0,0,37.847955,-122.276342,0,2500,1.904,37.84926235,-122.2755751,4,5,0
173,1413 Alcatraz Ave,0,0,37.848025,-122.27896,0,1785,1.973,37.8474901,-122.2796585,4,5,1
174,1628 Alcatraz Ave,0,0,37.848082,-122.274409,0,1421,1.847,37.84945795,-122.2755581,4,5,0
175,1833 63rd at Dover,1,2,37.848223,-122.269914,650,1300,1.743,37.84907015,-122.2695726,4,4,0
176,1730 Alcatraz Ave,0,0,37.848228,-122.272607,0,2065,1.797,37.84800726,-122.2722183,4.075,3,0
177,1833 63rd at Dover,1,2,37.848239,-122.270064,650,1300,1.745,37.84907015,-122.2695726,4,4,0
178,1833 63rd at Dover,1,2,37.848256,-122.26985,650,1300,1.74,37.84907015,-122.2695726,4,4,0
179,1517 Alcatraz Ave,0,0,37.848271,-122.277108,0,1300,1.906,37.84926235,-122.2767579,4.025,5,0
180,1833 63rd at Dover,1,2,37.84829,-122.270021,650,1300,1.741,37.84907015,-122.2695726,4,4,0
181,1833 63rd St at Dover,1,2,37.848307,-122.26985,650,1300,1.737,37.84907015,-122.2695726,4,4,0
182,1525 Alcatraz Ave,0,0,37.848315,-122.276769,0,2321,1.894,37.84926235,-122.2767579,4.025,5,0
183,1734 Alcatraz Ave,0,0,37.848322,-122.272475,0,2065,1.788,37.84945795,-122.2722183,4.025,3,0
184,1529 Alcatraz Ave,0,0,37.848336,-122.276599,0,1544,1.888,37.84926235,-122.2755751,4,5,0
185,1736 Alcatraz Ave,0,0,37.848423,-122.272452,0,2065,1.781,37.84945795,-122.2722183,4.025,3,0
186,0 0,1,3,37.848561,-122.164813,1500,1658,5.425,37.8561942,-122.1534483,3.775,2,0
187,1623 Alcatraz Ave,0,0,37.848591,-122.274679,0,2007,1.823,37.84945795,-122.2755751,4,5,0
188,1510 Harmon St,0,0,37.848608,-122.277526,0,2550,1.898,37.84926235,-122.2767579,4.025,5,0
189,1830 Alcatraz Ave,0,0,37.848609,-122.270359,0,2200,1.726,37.84945795,-122.2695726,4,3,0
190,3237 California St,0,0,37.848612,-122.275625,0,2132,1.845,37.84945795,-122.2755751,4,5,0
191,1631 Alcatraz Ave,0,0,37.848616,-122.274504,0,1950,1.817,37.84945795,-122.2755581,3.975,5,0
192,1727 Alcatraz Ave,0,0,37.84867,-122.272904,0,2312,1.775,37.84945795,-122.2722183,4.025,3,0
193,1818 Alcatraz Ave,0,0,37.848697,-122.270697,0,1117,1.727,37.84945795,-122.2700609,4.025,3,0
194,3244 Ellis St,0,0,37.848709,-122.27279,0,2312,1.77,37.84945795,-122.2722183,4.025,3,0
195,1534 Harmon St,0,0,37.84874,-122.276488,0,1754,1.861,37.84926235,-122.2755751,4,5,0
196,1896 Alcatraz Ave,0,0,37.848763,-122.269334,0,1031,1.698,37.84907015,-122.2684379,4,3,1
197,1898 Alcatraz Ave,0,0,37.848778,-122.269203,0,975,1.695,37.8507227,-122.2661452,4,3,1
198,1832 Alcatraz Ave,0,0,37.848786,-122.270411,0,2200,1.716,37.84945795,-122.2695726,4,3,0
199,1536 Harmon St,0,0,37.848808,-122.27633,0,1923,1.852,37.84926235,-122.2755751,4,5,0
200,1612 Harmon St,0,0,37.848874,-122.275423,0,2081,1.824,37.84945795,-122.2755751,4,5,0
201,1614 Harmon St,0,0,37.848896,-122.275262,0,1814,1.819,37.84945795,-122.2755751,4,5,0
202,1620 Harmon St,0,0,37.848929,-122.274997,0,700,1.81,37.84945795,-122.2755751,4,5,0
203,1826 Alcatraz Ave,0,1,37.848932,-122.271317,0,1795,1.724,37.84945795,-122.2700609,4.025,3,0
204,3219 Idaho St,0,0,37.848997,-122.28145,0,670,1.996,37.8478036,-122.2814388,4,4,0
205,0 0,1,3,37.849002,-122.260494,1350,1400,1.594,37.85057545,-122.2590388,4.025,2,2
206,3218 Boise St,0,0,37.84907,-122.281121,0,740,1.981,37.8478036,-122.2818306,4.025,5,0
207,1893 Alcatraz Ave.,1,1,37.849087,-122.26927,600,1750,1.676,37.8507227,-122.2661452,4,3,1
208,1402 Fairview St,0,0,37.849122,-122.279603,0,1650,1.93,37.8481074,-122.2802624,4.025,5,0
209,1515 Harmon St,0,0,37.84916,-122.277463,0,1650,1.863,37.84926235,-122.2768909,3.975,6,0
210,1642 Harmon St,0,0,37.849176,-122.274055,0,2120,1.771,37.84945795,-122.2751314,4,4,0
211,1859 Alcatraz Ave,0,0,37.849193,-122.26996,0,1005,1.681,37.8501215,-122.2695726,3.975,4,0
212,1525 Harmon St,0,0,37.849227,-122.276951,0,1624,1.845,37.84926235,-122.2768909,3.975,6,0
213,1529 Harmon St,0,0,37.84925,-122.276777,0,1822,1.839,37.84926235,-122.2757081,3.975,5,0
214,1533 Harmon St,0,0,37.849273,-122.276597,0,1668,1.832,37.84926235,-122.2757081,3.975,5,0
215,1537 Harmon St,0,0,37.849297,-122.276426,0,2355,1.826,37.84926235,-122.2757081,3.975,5,0
216,3214 California St,0,0,37.849314,-122.276251,0,1903,1.82,37.84945795,-122.2757081,3.975,5,0
217,3216 Baker St,0,0,37.849361,-122.28028,0,1885,1.938,37.8478036,-122.2814388,4,4,0
218,Harmon at King,0,3,37.849526,-122.27428,2400,1500,1.755,37.84945795,-122.2722183,4.025,3,0
219,67th St at San Pablo Ave,0,2,37.849629,-122.288368,1339,1600,2.214,37.85020794,-122.2862391,4.1,7,0
220,3205 California St,0,0,37.849635,-122.275753,0,1900,1.787,37.84945795,-122.2757081,3.975,5,0
221,1918 Harmon St,0,0,37.849669,-122.268922,0,1523,1.631,37.8507227,-122.2661452,4,3,1
222,Harmon Street at Adeline Street,1,1,37.849726,-122.27168,800,1900,1.682,37.84945795,-122.2722183,4.025,3,0
223,1610 Fairview St,0,0,37.849838,-122.275612,0,1700,1.771,37.84945795,-122.2755751,4,5,0
224,1628 Fairview St,0,0,37.84986,-122.274919,0,1889,1.751,37.84945795,-122.2755751,3.975,4,0
225,1412 66th St,0,0,37.849904,-122.279557,0,2250,1.884,37.84926235,-122.2801056,4.025,5,0
226,1626 Fairview St,0,0,37.850006,-122.274987,0,1889,1.744,37.84945795,-122.2757081,3.95,5,0
227,473 Alcatraz Ave,0,2,37.850019,-122.259614,0,1350,1.523,37.84998965,-122.2588637,3.95,2,2
228,1054 67th Street,750,1,37.850033,-122.285291,750,2250,2.076,37.84965425,-122.2862391,4.05,6,0
229,473 Alcatraz Ave,0,1,37.850112,-122.259647,0,1700,1.517,37.84998965,-122.2588637,3.95,2,2
230,473 Alcatraz Ave,0,2,37.850154,-122.259614,0,1300,1.514,37.84998965,-122.2588637,3.95,2,2
231,1543 Fairview St,0,0,37.850176,-122.276432,0,750,1.774,37.84945795,-122.2757081,3.975,5,0
232,540 alcatraz ave,0,1,37.8502,-122.262036,0,1700,1.517,37.8506369,-122.2608533,4,3,1
233,1625 Fairview St,0,0,37.850229,-122.275052,0,1685,1.733,37.84945795,-122.2757081,3.95,5,0
234,1816 Fairview St,0,0,37.850251,-122.272004,0,1497,1.656,37.84945795,-122.2722183,4.025,3,0
235,3135 Sacramento St,0,0,37.850272,-122.277943,0,2500,1.813,37.84926235,-122.2796585,3.975,6,0
236,1603 Fairview St,0,0,37.850285,-122.275905,0,1631,1.753,37.84945795,-122.2757081,3.975,5,0
237,1611 Fairview St,0,0,37.850307,-122.275732,0,1911,1.747,37.84945795,-122.2757081,3.95,5,0
238,1619 Fairview St,0,0,37.850351,-122.275372,0,2994,1.734,37.84945795,-122.2757081,3.95,5,0
239,1627 Fairview St,0,0,37.850394,-122.275029,0,1685,1.722,37.84945795,-122.2757081,3.95,4,0
240,65th St. at Shattuck,1,1,37.850426,-122.26638,900,2000,1.542,37.8503349,-122.2659776,4,3,1
241,3138 California St,0,0,37.850436,-122.276667,0,2743,1.766,37.84945795,-122.2757081,3.975,5,0
