address,bathrooms,bedrooms,latitude,longitude,sqft,price per room,distance,avg_rating,#cafes,#pubs
1304 Albina Ave,0,0,37.882138,-122.284296,0,3000,1.523,4.075,2,2
1305 Carrison St,0,0,37.852224,-122.28316,0,1434,1.886,4.125,6,1
1306 Cedar St,0,0,37.875716,-122.288191,0,2436,1.59,4.075,6,0
1310 ALMA,1,1,37.893749,-122.063478,725,1995,10.817,4.025,1,1
1310 Burnett St,0,0,37.853508,-122.283211,0,1847,1.825,4.125,7,1
1311 Addison St,0,0,37.869194,-122.285868,0,1015,1.457,3.9,2,1
1312 Josephine St,0,0,37.88249,-122.275715,0,2325,1.141,4.075,4,0
1313 San Pablo Ave,0,0,37.880245,-122.295553,0,2195,2.051,4.1,6,0
1314 Ashby Ave,0,0,37.852644,-122.282955,0,1573,1.858,4.125,7,1
1315 Dwight Way,0,0,37.862315,-122.285405,0,1658,1.571,4.05,6,1
1315 Henry St,0,0,37.883081,-122.270512,0,2000,0.968,4.075,3,0
1315 Spruce St,0,0,37.883431,-122.265944,0,1559,0.858,4,2,0
1316 Bonita Ave,0,0,37.882468,-122.273407,0,2900,1.045,4.075,3,0
1316 Burnett St,0,0,37.853549,-122.283012,0,1929,1.815,4.125,7,1
1317 Hopkins St,0,0,37.878737,-122.288022,0,3200,1.627,4.025,4,2
1318 Shattuck Ave,0,0,37.883102,-122.27004,0,2132,0.953,4.05,4,0
1319 Haskell St,0,0,37.851536,-122.282452,0,1523,1.895,4.025,4,1
1320 Josephine St,0,0,37.88215,-122.275673,0,1600,1.125,4.05,3,0
1321 Dwight Way,0,0,37.861777,-122.285299,0,1658,1.582,4.025,7,1
1322 Ashby Ave,0,0,37.85271,-122.282615,0,2538,1.841,4.125,6,1
1322 Channing Way,1,2,37.863511,-122.285465,1444,1650,1.54,3.975,4,1
1322 dwight way,0,3,37.861678,-122.285309,0,1400,1.585,4.05,7,1
1322 Shattuck Ave,0,0,37.882957,-122.270046,0,2361,0.946,4.075,4,0
1323 Henry St,0,0,37.882823,-122.270479,0,2500,0.953,4.075,5,1
1323 Josephine St,0,0,37.882231,-122.275004,0,1393,1.099,4.075,5,0
1324 Addison St,0,0,37.868786,-122.285019,0,1471,1.415,4,3,1
1325 40th St,2,2,37.829751,-122.284184,1015,1747,3.219,3.95,4,0
1325 40th St,1,1,37.829819,-122.283958,554,2395,3.209,4,4,0
1325 Josephine St,0,0,37.88219,-122.27525,0,1393,1.108,4.1,7,1
1325 Sacramento St,0,0,37.880849,-122.283023,0,2125,1.422,4.025,2,0
1327 Ashby Ave,0,0,37.853249,-122.282673,0,1726,1.817,4.125,7,1
1327 Milvia St,0,0,37.882565,-122.2716,0,1767,0.98,4.05,5,0
1329 Henry St,0,0,37.882572,-122.270445,0,2235,0.939,4.05,5,0
1329 Parker St,0,0,37.86031,-122.28382,0,1314,1.56,4.1,6,1
1329 rose st,1,1,37.877134,-122.287807,600,1850,1.588,4.1,6,0
1330 Alcatraz Ave,0,0,37.84737,-122.279847,0,1000,2.038,4,5,1
1330 Sacramento St,0,0,37.880567,-122.283501,0,1610,1.438,4.1,3,3
1332 Alcatraz Ave,0,0,37.8474,-122.279695,0,1750,2.031,4,5,1
1332 Shattuck Ave,1,2,37.883182,-122.270046,900,1600,0.958,4.05,4,0
1333 Powell Street,1,1,37.839335,-122.288969,765,3257,2.777,3.9,4,1
1333 Powell Street,1,1,37.839352,-122.288958,734,2910,2.775,3.9,4,1
1333 Powell Street,1,1,37.83936,-122.288947,734,2875,2.775,3.9,4,1
1333 Shattuck Ave,0,0,37.882722,-122.269418,0,1292,0.912,4.175,0,0
1334 Walnut St,0,0,37.882631,-122.26881,0,1850,0.888,4.175,0,0
1335 Shattuck Ave,0,0,37.882719,-122.269293,0,1292,0.908,4,5,0
1337 Shattuck Ave,0,0,37.882691,-122.269452,0,1292,0.911,4,5,0
1337 University Ave,0,0,37.870232,-122.285524,0,1423,1.43,3.95,5,2
1338 Carlotta Ave,0,0,37.881215,-122.279514,0,3149,1.263,4.125,4,0
1338 Shattuck Ave,0,0,37.882461,-122.269968,0,1819,0.916,4.075,4,2
1339 Francisco St,0,0,37.873648,-122.286793,0,2010,1.498,3.875,3,1
1339 Rose St,0,0,37.877453,-122.287627,0,1650,1.583,4.1,5,0
1347 Hearst Ave,0,0,37.871614,-122.286035,0,1850,1.453,4,3,1
1350 Acton St,0,0,37.881615,-122.285521,0,2233,1.568,4.175,0,2
1354 Scenic Ave,0,0,37.883039,-122.263491,0,1900,0.785,4.05,4,0
1356 Scenic Ave,0,0,37.883154,-122.263369,0,1900,0.791,4.025,4,0
1359 Ashby Ave,0,0,37.853371,-122.281585,0,1604,1.77,4.125,7,1
1360 Hopkins St,0,0,37.879105,-122.286249,0,1690,1.542,4.05,3,0
1360 Scenic Ave,0,0,37.883066,-122.263342,0,1900,0.785,4.05,3,0
1371 Shattuck Ave,0,0,37.882555,-122.269287,0,2204,0.899,4,3,0
1380 Hopkins St,0,0,37.879503,-122.285525,0,1720,1.513,4.15,5,0
1387 Berkeley Way,0,0,37.870926,-122.284787,0,1827,1.387,3.925,1,1
139 Forest Ln,0,0,37.895679,-122.2614,0,1117,1.629,4.05,2,0
1393 Berkeley Way,0,0,37.871051,-122.284701,0,1728,1.381,4.1,1,2
1401 Hawthorne Terrace,0,0,37.882306,-122.261862,0,1150,0.716,4.05,5,0
1402 Fairview St,0,0,37.849122,-122.279603,0,1650,1.93,4.025,5,0
1403 Carleton St,0,0,37.85963,-122.282247,0,1410,1.514,4.125,7,1
1403 Hawthorne Terrace,0,0,37.882406,-122.261896,0,1150,0.723,4.175,0,1
