bedrooms,bathrooms,sqft,distance_to_campus,num_images,unique_words,price
nan,nan,nan,1.7418677156402358,6.0,62.0,995.0
nan,nan,nan,4.9068877060686695,13.0,31.0,1950.0
nan,nan,nan,0.75577196614391207,4.0,246.0,2995.0
nan,nan,nan,2.135837040887981,11.0,30.0,1950.0
nan,nan,nan,3.0120282026484113,0.0,33.0,2795.0
nan,nan,788.0,3.0396417849940094,8.0,257.0,2595.0
nan,nan,1300.0,2.7657056731322625,24.0,153.0,3500.0
nan,nan,2172.0,9.0486795984056805,6.0,324.0,7250.0
nan,nan,868.0,2.0365291198986162,5.0,91.0,2825.0
nan,nan,1195.0,4.6889833183575327,5.0,151.0,3500.0
nan,nan,1000.0,2.7092492987605374,8.0,55.0,2495.0
nan,nan,1000.0,1.4825703864124395,10.0,106.0,3000.0
nan,nan,1317.0,2.7756240630430709,11.0,13.0,3762.0
nan,nan,1000.0,2.5201674068725173,6.0,82.0,2200.0
nan,nan,1900.0,14.821040051274737,0.0,159.0,2400.0
nan,nan,793.0,2.7764227427033976,14.0,13.0,2907.0
nan,nan,825.0,8.4498862784436231,8.0,174.0,2035.0
nan,nan,714.0,2.7657056731322625,6.0,284.0,2560.0
nan,nan,nan,4.9135635822044854,12.0,31.0,1925.0
nan,nan,1089.0,2.7657056731322625,6.0,266.0,3145.0
nan,nan,520.0,4.2330963965607111,6.0,120.0,1650.0
nan,nan,nan,1.2155997502771312,10.0,60.0,2250.0
nan,nan,1100.0,2.6655260329051509,12.0,303.0,3100.0
nan,nan,1200.0,13.855171057195367,12.0,77.0,2400.0
nan,nan,717.0,3.1035691680052384,8.0,102.0,2500.0
nan,nan,1089.0,2.7657056731322625,6.0,266.0,3053.0
nan,nan,634.0,2.9505025618608274,18.0,127.0,2700.0
nan,nan,700.0,1.5134216264873521,10.0,75.0,2000.0
nan,nan,1089.0,2.7657056731322625,6.0,275.0,3053.0
nan,nan,nan,3.9995421621399023,10.0,215.0,2500.0
nan,nan,1500.0,2.0249377678721743,11.0,188.0,4400.0
nan,nan,910.0,5.0248630766755893,8.0,91.0,2683.0
nan,nan,672.0,5.0248630766755893,9.0,266.0,2175.0
nan,nan,901.0,5.0248630766755893,9.0,91.0,2498.0
nan,nan,nan,2.3425051850038439,0.0,130.0,2680.0
nan,nan,450.0,2.2316761112373502,0.0,57.0,1750.0
nan,nan,560.0,2.7092492987605374,24.0,449.0,2795.0
nan,nan,800.0,2.2183448355005204,11.0,143.0,2450.0
nan,nan,1300.0,2.702600278239315,12.0,295.0,3600.0
nan,nan,1025.0,8.4498862784436231,14.0,110.0,2335.0
nan,nan,nan,0.41599455153641235,4.0,84.0,2200.0
nan,nan,nan,3.3818197858724308,4.0,279.0,2225.0
nan,nan,1031.0,1.8391871611012165,6.0,72.0,3500.0
nan,nan,nan,5.6176487774480863,8.0,211.0,1200.0
nan,nan,nan,1.7349279788321608,11.0,217.0,2400.0
nan,nan,1089.0,2.7657056731322625,6.0,266.0,3145.0
nan,nan,750.0,2.5881271694874939,6.0,224.0,3000.0
nan,nan,nan,0.41599455153641235,4.0,95.0,2200.0
nan,nan,2226.0,1.517849898836555,4.0,110.0,5000.0
nan,nan,nan,3.2604839164405908,14.0,363.0,2300.0
nan,nan,1200.0,1.2995124749569644,12.0,104.0,2850.0
nan,nan,825.0,8.4498862784436231,6.0,173.0,2035.0
nan,nan,nan,1.8902328553939842,0.0,38.0,1475.0
nan,nan,nan,3.2763434680249595,14.0,284.0,2300.0
nan,nan,nan,3.0280616800148192,13.0,227.0,2150.0
nan,nan,nan,1.2139118254542949,11.0,66.0,2795.0
nan,nan,850.0,6.0672832112669601,7.0,72.0,1600.0
nan,nan,700.0,3.6281604797537077,8.0,270.0,2050.0
nan,nan,980.0,3.1941586864914209,22.0,346.0,2768.0
nan,nan,nan,0.51253435750962439,0.0,59.0,100.0
nan,nan,2100.0,2.0074260646859883,18.0,124.0,4500.0
nan,nan,nan,5.627470129582723,8.0,223.0,1200.0
nan,nan,1000.0,0.33367697538739227,9.0,111.0,3400.0
nan,nan,nan,0.41599455153641235,5.0,102.0,2200.0
nan,nan,nan,0.5281663881343609,0.0,59.0,100.0
nan,nan,nan,0.83821898262830075,0.0,57.0,100.0
nan,nan,nan,0.56017202056860427,0.0,59.0,100.0
nan,nan,1234.0,3.1430531869183103,0.0,173.0,2700.0
nan,nan,773.0,2.3864292789165402,13.0,233.0,2300.0
nan,nan,1058.0,2.3359169205303902,15.0,146.0,2995.0
nan,nan,773.0,2.4163782483691212,22.0,13.0,2600.0
nan,nan,1600.0,2.4367660263534843,6.0,120.0,3195.0
nan,nan,850.0,6.3201680560153628,16.0,226.0,1690.0
nan,nan,1058.0,2.3370003887593849,15.0,145.0,2995.0
nan,nan,650.0,1.3592880775629641,10.0,114.0,2050.0
nan,nan,1700.0,6.3334484549867369,10.0,220.0,3950.0
nan,nan,nan,14.228213252442362,13.0,458.0,2125.0
nan,nan,1300.0,6.9415035950946615,14.0,264.0,3475.0
nan,nan,nan,4.4642114801276929,8.0,141.0,1500.0
nan,nan,nan,0.79373979001655726,0.0,41.0,2495.0
nan,nan,450.0,3.1303126808516346,7.0,178.0,1825.0
nan,nan,1667.0,1.6863996247401005,5.0,85.0,4695.0
nan,nan,nan,1.5334357166887131,6.0,96.0,2250.0
nan,nan,nan,0.61173383918916857,0.0,103.0,2800.0
nan,nan,1229.0,0.6104453803348705,7.0,235.0,3850.0
nan,nan,1923.0,6.7879962737545334,23.0,316.0,3500.0
nan,nan,nan,1.4266513924116677,7.0,95.0,1500.0
nan,nan,700.0,3.6281604797537077,8.0,279.0,2050.0
nan,nan,nan,0.66491056640505863,0.0,30.0,2200.0
nan,nan,960.0,4.2323746976459917,14.0,292.0,2300.0
nan,nan,nan,20.252311518194794,5.0,111.0,1613.0
nan,nan,500.0,2.7867415177918007,0.0,144.0,2100.0
nan,nan,650.0,1.9082037910260718,14.0,154.0,1950.0
nan,nan,831.0,0.41599455153641235,10.0,176.0,2750.0
nan,nan,nan,0.79373979001655726,5.0,41.0,2495.0
nan,nan,900.0,1.3592880775629641,0.0,28.0,3000.0
nan,nan,709.0,2.0352743581036732,5.0,45.0,2900.0
nan,nan,550.0,7.7155104386805107,6.0,188.0,1450.0
nan,nan,709.0,2.0389378158097498,5.0,133.0,2900.0
nan,nan,600.0,3.4097665363945096,8.0,135.0,2050.0
nan,nan,nan,2.0194388423775509,5.0,61.0,1550.0
nan,nan,787.0,2.0352743581036732,4.0,141.0,2825.0
nan,nan,813.0,1.156101080606009,0.0,162.0,2400.0
nan,nan,1050.0,2.2275505893777128,10.0,261.0,3750.0
nan,nan,nan,0.98137620192801012,19.0,55.0,4300.0
nan,nan,nan,0.98137620192801012,19.0,55.0,4300.0
nan,nan,950.0,4.0436645306836532,4.0,224.0,2995.0
nan,nan,709.0,2.0389378158097498,4.0,77.0,2900.0
nan,nan,3590.0,2.2515406336610115,5.0,336.0,6875.0
nan,nan,900.0,2.7092492987605374,10.0,111.0,1800.0
nan,nan,4051.0,2.2515406336610115,23.0,721.0,8250.0
nan,nan,550.0,7.2034893537709488,12.0,207.0,1400.0
nan,nan,nan,0.54512717635980723,4.0,203.0,975.0
nan,nan,1100.0,2.7092492987605374,7.0,236.0,3300.0
nan,nan,nan,1.9844248637895001,9.0,439.0,3090.0
nan,nan,1058.0,2.3353929179959327,15.0,145.0,3095.0
nan,nan,nan,0.79373979001655726,8.0,41.0,2495.0
nan,nan,nan,8.1653040727173636,12.0,51.0,1750.0
nan,nan,nan,2.1099482025584866,6.0,52.0,2850.0
nan,nan,787.0,2.0352743581036732,8.0,136.0,2925.0
nan,nan,709.0,2.0352743581036732,6.0,137.0,2825.0
nan,nan,700.0,3.0407403686774837,4.0,204.0,2200.0
nan,nan,868.0,2.0352743581036732,6.0,105.0,2825.0
nan,nan,787.0,2.0352743581036732,8.0,105.0,2825.0
nan,nan,nan,4.9124561135283367,11.0,50.0,1995.0
nan,nan,nan,5.6138602911159374,12.0,168.0,3500.0
nan,nan,2150.0,1.3708881413583656,9.0,137.0,4350.0
nan,nan,nan,1.6741508416990289,8.0,100.0,1895.0
nan,nan,nan,3.3049230637259068,7.0,243.0,2900.0
nan,nan,1310.0,7.0703558690164865,7.0,225.0,3575.0
nan,nan,1100.0,4.5329840031096884,16.0,261.0,2400.0
nan,nan,900.0,2.0850516264900243,7.0,169.0,2650.0
nan,nan,500.0,2.2148433194213619,6.0,61.0,2095.0
nan,nan,1500.0,2.5390908353886195,17.0,322.0,3900.0
nan,nan,nan,3.6809342522383268,4.0,29.0,1800.0
nan,nan,847.0,5.2108761127269325,13.0,171.0,2200.0
nan,nan,nan,5.6229190827094424,12.0,168.0,3500.0
nan,nan,nan,3.6809342522383268,7.0,172.0,3200.0
nan,nan,1113.0,2.9429645430294751,12.0,127.0,2750.0
nan,nan,560.0,2.7092492987605374,24.0,438.0,2825.0
nan,nan,nan,3.2040572395402309,7.0,33.0,2125.0
nan,nan,1400.0,4.4050003626684608,16.0,20.0,3995.0
nan,nan,875.0,7.8765981935698992,8.0,220.0,2495.0
nan,nan,702.0,2.9078001301062195,6.0,15.0,2495.0
nan,nan,875.0,7.8765981935698992,8.0,233.0,2655.0
nan,nan,1000.0,3.8423071843804721,7.0,225.0,2450.0
nan,nan,720.0,7.0066584780306949,8.0,235.0,2185.0
nan,nan,900.0,2.8269308707273182,4.0,126.0,1900.0
nan,nan,nan,4.6187375737355696,9.0,202.0,1100.0
nan,nan,700.0,5.1784987665620568,3.0,178.0,1750.0
nan,nan,nan,0.6472367906934442,4.0,67.0,1995.0
nan,nan,nan,5.4472584562922517,7.0,117.0,1595.0
nan,nan,1200.0,2.3695480868734791,9.0,103.0,2495.0
nan,nan,1144.0,2.9505025618608274,19.0,133.0,3200.0
nan,nan,690.0,2.6655260329051509,12.0,303.0,2850.0
nan,nan,1144.0,2.9505025618608274,11.0,163.0,3700.0
nan,nan,1200.0,13.855171057195367,12.0,76.0,2495.0
nan,nan,nan,3.6809342522383268,19.0,286.0,1965.0
nan,nan,910.0,5.0248630766755893,8.0,91.0,2605.0
nan,nan,864.0,5.0248630766755893,10.0,91.0,2523.0
nan,nan,nan,3.5495160181743657,7.0,36.0,1750.0
nan,nan,825.0,8.4498862784436231,6.0,174.0,2035.0
nan,nan,nan,2.0194388423775509,8.0,73.0,1550.0
nan,nan,nan,4.43261175124539,16.0,38.0,3900.0
nan,nan,nan,3.5541555818112425,10.0,36.0,1750.0
nan,nan,1901.0,5.5456179951871718,14.0,164.0,2995.0
nan,nan,768.0,2.9505025618608274,6.0,210.0,2700.0
nan,nan,1015.0,3.2343078863611936,24.0,358.0,3100.0
nan,nan,nan,7.6103078572189027,9.0,306.0,1895.0
nan,nan,nan,3.1264181618491214,24.0,35.0,2575.0
nan,nan,nan,4.0037600574441887,24.0,30.0,4900.0
nan,nan,672.0,4.4050003626684608,20.0,415.0,2950.0
nan,nan,nan,6.7483130151305417,11.0,34.0,2025.0
nan,nan,780.0,1.9846511170492873,12.0,393.0,2450.0
nan,nan,nan,5.1785433484309094,7.0,168.0,1725.0
nan,nan,1016.0,3.2661109365849148,8.0,196.0,2800.0
nan,nan,1282.0,3.6708508385579166,12.0,220.0,2595.0
nan,nan,1282.0,3.6708508385579166,12.0,213.0,2595.0
nan,nan,840.0,7.828455625145307,0.0,321.0,1895.0
nan,nan,nan,5.2633982320608803,5.0,203.0,1700.0
nan,nan,500.0,0.47132003484413904,4.0,148.0,1875.0
nan,nan,373.0,7.828455625145307,0.0,301.0,1395.0
nan,nan,nan,5.2633982320608803,6.0,213.0,1700.0
nan,nan,nan,14.37135576861191,0.0,144.0,1495.0
nan,nan,1234.0,2.9479809513240971,20.0,287.0,2690.0
nan,nan,nan,5.261054171900108,0.0,192.0,1700.0
nan,nan,700.0,3.7113519891246187,7.0,295.0,1875.0
nan,nan,nan,2.2505046567506395,8.0,142.0,3000.0
nan,nan,700.0,3.5926009173655582,6.0,357.0,1875.0
nan,nan,1400.0,1.8564119717731207,4.0,118.0,4300.0
nan,nan,1025.0,8.4498862784436231,10.0,84.0,2335.0
nan,nan,715.0,23.658138103332796,11.0,909.0,2995.0
nan,nan,nan,1.7292926327488976,14.0,89.0,2995.0
nan,nan,850.0,15.387808253105883,15.0,129.0,1450.0
nan,nan,1100.0,0.60208840683151565,17.0,165.0,3800.0
nan,nan,5520.0,1.5270831545229093,18.0,346.0,6900.0
nan,nan,1000.0,13.884382008441372,15.0,205.0,2395.0
nan,nan,900.0,1.5075429056599958,24.0,68.0,3995.0
nan,nan,1000.0,0.54512717635980723,7.0,121.0,3400.0
nan,nan,1000.0,0.33367697538739227,8.0,117.0,3400.0
nan,nan,nan,1.4713519024387147,0.0,89.0,2800.0
nan,nan,1200.0,2.3196804985704729,4.0,105.0,2800.0
nan,nan,1015.0,3.0396417849940094,12.0,565.0,3195.0
nan,nan,nan,3.1370417951809286,12.0,274.0,2300.0
nan,nan,875.0,4.4951955053841557,15.0,488.0,1895.0
nan,nan,nan,1.2586980672773456,16.0,110.0,2750.0
nan,nan,1100.0,4.7350774109935987,8.0,424.0,2700.0
nan,nan,1150.0,3.9315129223080114,14.0,174.0,3295.0
nan,nan,nan,2.4939540732614716,24.0,57.0,1950.0
nan,nan,nan,2.4939540732614716,24.0,57.0,1950.0
nan,nan,800.0,1.7481943558347635,5.0,37.0,2800.0
nan,nan,1850.0,17.599457256958249,15.0,155.0,3250.0
nan,nan,nan,4.6454063728417108,15.0,177.0,4600.0
nan,nan,1850.0,17.599457256958249,15.0,155.0,3250.0
nan,nan,1850.0,17.599457256958249,15.0,155.0,3250.0
nan,nan,373.0,7.828455625145307,0.0,309.0,1395.0
nan,nan,nan,2.4939540732614716,11.0,13.0,1995.0
nan,nan,650.0,1.556529599769481,4.0,536.0,2395.0
nan,nan,nan,7.6303065966819785,20.0,25.0,2095.0
nan,nan,868.0,2.0365291198986162,3.0,91.0,2825.0
nan,nan,700.0,4.4726686613405011,18.0,324.0,2100.0
nan,nan,nan,6.3372901512854529,16.0,159.0,3300.0
nan,nan,709.0,2.0352743581036732,2.0,46.0,2900.0
nan,nan,716.0,2.0389378158097498,6.0,96.0,2825.0
nan,nan,1281.0,5.803065977998263,12.0,55.0,3099.0
nan,nan,nan,1.1926029194788166,10.0,86.0,3100.0
nan,nan,450.0,2.4362684489816657,10.0,25.0,1495.0
nan,nan,600.0,2.7738271442427251,3.0,129.0,1900.0
nan,nan,800.0,2.959372773965292,6.0,287.0,2200.0
nan,nan,nan,0.31587850746775914,10.0,51.0,1425.0
nan,nan,950.0,1.9819714230233636,10.0,164.0,3495.0
nan,nan,nan,0.31587850746775914,10.0,51.0,1575.0
nan,nan,558.0,3.0396417849940094,9.0,257.0,2695.0
nan,nan,nan,2.2788779180705112,12.0,331.0,3200.0
nan,nan,1290.0,2.7391171433951746,4.0,133.0,3870.0
nan,nan,1015.0,3.0396417849940094,17.0,639.0,3195.0
nan,nan,nan,0.79373979001655726,0.0,41.0,2495.0
nan,nan,nan,4.2646859258295962,8.0,35.0,2025.0
nan,nan,nan,4.1616435566087029,9.0,38.0,1995.0
nan,nan,nan,0.79373979001655726,0.0,41.0,2495.0
nan,nan,nan,2.3599336048432584,7.0,36.0,1925.0
nan,nan,nan,7.8820637593970817,14.0,40.0,2135.0
nan,nan,nan,7.8790239079446174,14.0,40.0,1950.0
nan,nan,nan,1.6227494955291242,6.0,268.0,2200.0
nan,nan,nan,3.5207442224735237,13.0,34.0,2695.0
nan,nan,1015.0,3.0396417849940094,15.0,257.0,3195.0
nan,nan,nan,0.60279174534181945,4.0,124.0,1395.0
nan,nan,1400.0,1.7902141556226476,18.0,295.0,3500.0
nan,nan,724.0,4.194040363718738,12.0,47.0,3142.0
nan,nan,1550.0,2.9485393938661817,23.0,765.0,3999.0
nan,nan,1290.0,2.7416533498118718,4.0,127.0,3870.0
nan,nan,3407.0,5.3468855850983967,24.0,140.0,7600.0
nan,nan,700.0,1.0754619508956222,0.0,106.0,2200.0
nan,nan,1073.0,2.7657056731322625,7.0,240.0,3141.0
nan,nan,558.0,3.0396417849940094,16.0,634.0,2695.0
nan,nan,650.0,0.41599455153641235,7.0,109.0,1950.0
nan,nan,788.0,3.0396417849940094,8.0,636.0,2595.0
nan,nan,1615.0,3.264341740778856,4.0,96.0,4345.0
nan,nan,1089.0,2.7657056731322625,6.0,266.0,3145.0
nan,nan,709.0,2.0389378158097498,4.0,133.0,2900.0
nan,nan,1505.0,16.660251910665359,6.0,169.0,2198.0
nan,nan,1170.0,3.0030297873543006,10.0,619.0,3300.0
nan,nan,700.0,3.276294308453704,0.0,96.0,1800.0
nan,nan,2250.0,0.64958645016406125,24.0,79.0,6250.0
nan,nan,nan,4.5907518183562113,10.0,348.0,1800.0
nan,nan,1250.0,1.7768756180389331,9.0,56.0,4295.0
nan,nan,1250.0,1.7768756180389331,9.0,55.0,4295.0
nan,nan,nan,1.0088836443481395,6.0,140.0,3995.0
nan,nan,nan,1.4713519024387147,4.0,73.0,2000.0
nan,nan,640.0,0.57913748903874451,6.0,291.0,2300.0
nan,nan,585.0,1.0980682739857386,0.0,104.0,2149.0
nan,nan,nan,1.1015622497843431,11.0,66.0,2700.0
nan,nan,nan,0.54512717635980723,0.0,100.0,1695.0
nan,nan,787.0,2.0352743581036732,4.0,164.0,2825.0
nan,nan,716.0,2.0389378158097498,2.0,166.0,2825.0
nan,nan,716.0,2.0352743581036732,6.0,157.0,2825.0
nan,nan,982.0,0.54512717635980723,9.0,430.0,4295.0
nan,nan,800.0,1.2533143328141854,11.0,15.0,2500.0
nan,nan,nan,2.0401196797321024,20.0,21.0,1850.0
nan,nan,nan,0.5960116757809697,6.0,153.0,1695.0
nan,nan,nan,0.67603259560674756,4.0,64.0,2995.0
nan,nan,nan,0.59609121682337807,0.0,144.0,1695.0
nan,nan,nan,0.67603259560674756,0.0,57.0,2995.0
nan,nan,nan,2.0401196797321024,20.0,21.0,1850.0
nan,nan,500.0,0.66870465173519367,3.0,82.0,1800.0
nan,nan,709.0,2.0327529714479473,8.0,114.0,2900.0
nan,nan,550.0,0.65821747542672815,0.0,215.0,1795.0
nan,nan,667.0,1.156101080606009,9.0,151.0,2300.0
nan,nan,nan,0.41599455153641235,6.0,67.0,3000.0
nan,nan,560.0,0.66670507250557509,0.0,201.0,1675.0
nan,nan,813.0,1.051684491896151,2.0,161.0,2400.0
nan,nan,nan,0.5943136929310221,9.0,172.0,2400.0
nan,nan,1000.0,1.4221940797291974,8.0,97.0,2200.0
nan,nan,nan,0.5943136929310221,12.0,184.0,2500.0
nan,nan,nan,1.5453665052537262,4.0,128.0,2900.0
nan,nan,720.0,1.4713519024387147,6.0,206.0,2700.0
nan,nan,780.0,0.92642898985502187,6.0,168.0,2600.0
nan,nan,1100.0,2.7092492987605374,7.0,235.0,3300.0
nan,nan,750.0,2.1753303712365755,6.0,138.0,2900.0
nan,nan,nan,1.315479227314452,5.0,186.0,1650.0
nan,nan,nan,0.74240119509462121,0.0,93.0,3000.0
nan,nan,800.0,1.2853443460924168,13.0,127.0,3400.0
nan,nan,2000.0,1.763026168414155,10.0,71.0,4200.0
nan,nan,868.0,1.4713519024387147,10.0,137.0,2825.0
nan,nan,709.0,2.0352743581036732,10.0,75.0,2900.0
nan,nan,nan,0.5960116757809697,5.0,151.0,1695.0
