,Unnamed: 0,address,bathrooms,bedrooms,latitude,longitude,sqft,price per room,distance,avg_rating,#cafes,#pubs,edge_distance
71,71,1130 65th Street,0,3,37.847911,-122.286403,1850,1199,2.226,4.025,5,1,3.12467266385
72,72,1130 65th street at hollis,0,3,37.84707,-122.287617,1850,1198,2.313,3.95,4,1,3.26246844832
73,73,1130 65th street at hollis,0,3,37.851137,-122.280922,1850,1265,1.862,4.025,5,0,2.5627162825
74,74,1130 65th street Unit G at hollis,0,3,37.845444,-122.287102,1700,1199,2.38,3.925,4,1,3.38683448355
75,75,1135 Page St,0,0,37.877937,-122.293755,0,2493,1.917,4.15,7,0,2.54482089022
76,76,1136 Hearst Ave,0,0,37.870413,-122.290947,0,1883,1.725,3.875,3,2,2.17960646562
77,77,1137 High Ct,0,0,37.88866,-122.262955,0,1548,1.158,3.975,2,0,1.54061591822
78,78,1139 Oxford St,0,0,37.887732,-122.267624,0,1420,1.166,3.775,1,0,1.52725559631
79,79,1140 Hearst Ave,0,0,37.869802,-122.290982,0,1883,1.73,4.125,1,2,2.18577754744
80,80,1141 Hearst Ave,0,0,37.87091,-122.290787,0,1726,1.714,3.975,4,2,2.16459452265
81,81,"1158 - 63rd Street, at San Pablo Avenue",1,2,37.845105,-122.286415,800,750,2.375,3.925,4,1,3.38643004707
82,82,1169 Euclid Ave,0,0,37.887359,-122.261958,0,1685,1.061,4.075,2,1,1.39167134134
83,83,11720 San Pablo Avenue,1,1,37.9156,-122.2985,672,2300,3.681,3.975,4,0,5.57067910782
84,84,1176 University Ave,0,0,37.86903,-122.290098,0,1199,1.688,3.95,5,2,2.11548680047
85,85,1176 University Ave - 206,0,1,37.869336,-122.290209,0,1395,1.691,3.975,1,2,2.12193630451
86,86,1180 University Ave,0,0,37.869141,-122.289965,0,2002,1.68,3.975,1,2,2.10262036843
87,87,1186 Laurel St,0,0,37.886859,-122.26356,0,1523,1.042,4.0,2,0,1.34673108273
88,88,1192 Kains Ave,0,0,37.882749,-122.29583,0,1117,2.119,4.025,4,0,2.91629495545
89,89,1192 Laurel St,220,1,37.886525,-122.26378,220,1050,1.022,3.95,3,0,1.31256966838
90,90,120 Caldecott Lane,1,2,37.853848,-122.222965,1200,1422,2.36,4.175,1,0,3.47214689297
91,91,120 Caldecott Ln,2,3,37.853255,-122.223394,1400,998,2.362,4.175,1,1,3.48245355793
92,92,1201 Dwight Way,0,0,37.861563,-122.287714,0,1675,1.707,4.1,6,1,2.16620071166
93,93,1202 Carrison St,0,0,37.851334,-122.285183,0,2002,2.007,4.1,6,1,2.75371751093
94,94,1205 Peralta Ave,0,0,37.882147,-122.286917,0,2300,1.653,4.05,3,0,2.20598610699
95,95,1207 University Ave,0,0,37.869788,-122.289007,0,1289,1.623,3.95,4,2,2.01282280032
96,96,1210 Masonic Ave,0,0,37.882854,-122.291266,0,1800,1.89,4.025,4,0,2.570340475
97,97,1211 University Ave,0,0,37.870087,-122.289043,0,1616,1.623,3.9,1,1,2.01402112071
98,98,1212 Carrison St,0,0,37.8514,-122.284829,0,1726,1.99,4.1,6,1,2.72907757363
99,99,1212 Neilson St,0,0,37.882466,-122.288938,0,1742,1.762,4.05,5,0,2.37372714483
100,100,1213 San Pablo Ave,0,0,37.88185,-122.29589,0,1364,2.101,4.125,4,0,2.87767692059
101,101,1215 Blake St,0,0,37.860884,-122.286367,0,1675,1.662,4.1,6,2,2.10296503684
102,102,1216 Spruce St,0,0,37.885508,-122.266847,0,4000,1.009,4.0,3,0,1.27175733485
103,103,1217 Blake St,0,0,37.860764,-122.286334,0,1675,1.664,4.1,6,2,2.10769889065
104,104,1218 Haskell St,0,0,37.850505,-122.285096,0,1832,2.045,4.1,7,0,2.82300973032
105,105,1218 Shattuck Ave,0,0,37.88474,-122.27023,0,1218,1.051,4.1,2,1,1.33563119785
106,106,1219 University Ave,0,0,37.870135,-122.288854,0,1574,1.612,3.9,3,2,1.99718274625
107,107,1221 Oregon St,0,0,37.855358,-122.285486,0,1450,1.832,4.15,5,1,2.43203041057
108,108,1222 Delaware St,0,0,37.871681,-122.288907,0,1696,1.61,4.0,3,1,2.00092592397
109,109,1223 University Ave,0,0,37.870151,-122.288654,0,1583,1.601,3.95,4,2,1.9795569918
110,110,1225 Ashby Ave,0,0,37.85259,-122.285844,0,1150,1.973,4.1,6,1,2.68119630676
111,111,1225 Bonita Ave,0,0,37.884554,-122.272972,0,1275,1.132,4.05,3,0,1.47020087142
112,112,1226 Haskell St,0,0,37.8506,-122.284716,0,2850,2.026,4.05,6,0,2.794870745
113,113,1226 Russell St,0,0,37.853663,-122.285714,0,1320,1.918,4.125,6,1,2.58357356234
114,114,1227 University Ave,0,0,37.869819,-122.288678,0,1360,1.605,3.925,4,2,1.98376993552
115,115,1229 Evelyn Ave,0,0,37.882216,-122.291525,0,1852,1.886,4.05,3,0,2.55450058668
116,116,1231 University Ave,0,0,37.869843,-122.288481,0,1434,1.594,3.95,5,2,1.96633433969
117,117,1233 University Ave,0,0,37.869791,-122.288447,0,1434,1.592,3.95,5,2,1.96374391593
118,118,1235 Carrison St,0,0,37.851934,-122.284826,0,914,1.964,4.1,6,1,2.68170386213
119,119,1236 Dwight Way,0,0,37.861372,-122.285727,0,875,1.615,4.05,7,1,2.02650358188
120,120,1236 Haskell St,0,0,37.850651,-122.284302,0,1827,2.008,4.05,6,0,2.76916369681
